Species,SpecCode,CommonName,ITOFF.Group,Kingdom,Phylum,Class,Order,Family,Genus,System,Group,Status,EstabwildSuccess,Means_Introduction,IUCN_Status,Polar,Boreal,Temperate,SubTropical,Tropical,Impacting,Impacted_by,ReproMode,Fertilization,RepGuild1,RepGuild2,Spawning,MeanFecundity,MinFecundity,MaxFecundity,BroodSize,AgeMaturity_Years_Estimate,MeanAgeMaturity_Years,GenerationTime_Years_Estimate,TrophicLevel_Estimate,TrophicLevel,FeedingType,Relative_BrainWeight,Longevity_Years_Estimate,Tmax,Wmax,Lmax,TempPref_min,TempPref_max,TempRange,TolerableTemp_min,TolerableTemp_max,Temp_Range_tolerable,Sources
Copella arnoldi,10741,Splash tetra,1,Animalia,Chordata,Actinopterygii,Characiformes,Lebiasinidae,Copella,Freshwater,Nonnative,Established,1,Ornamental,,,,,,1,,,dioecism,external,guarders,clutch tenders,,175,150,200,>100,,,,,3.26,predator,,,,0.328000009,3.489000082,25,29,4,,,,FishBase
Hyphessobrycon pulchripinnis,10656,Lemon tetra,1,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,Freshwater,Nonnative,Reported,,Ornamental,LC,,,,,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,no obvious seasonal peak,6390,4680,8100,,0.6,,0.8,,2.91,variable,,1.6,,0.5,3.799999952,23,28,5,,,,FishBase
Pethia gelius,4762,Golden barb,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pethia,Freshwater,Nonnative,Invasive,1,Fish farms; Accidental; Ornamental,LC,,,,1,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,85,70,100,,0.6,,0.8,,3.3,predator,,1.6,,0.629000008,4.900000095,18,22,4,,,,USGS-NAS; FishBase; IUCN
Hemigrammus ocellifer,10645,Head-and-taillight tetra,1,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hemigrammus,Freshwater,Nonnative,Established,1,Aquaria; Ornamental; Aquaculture; Accidental,,,,,,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,0.6,,0.8,,3.180000067,variable,,1.7,,1.003000021,3.572000027,22,26,4,,,,USGS-NAS; CABI-ISC; Fishbase; IUCN
Danio rerio,4653,Zebra danio,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Danio,Freshwater,Nonnative,Invasive,1,Ornamental,LC,,,1,1,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,throughout the year; but peaking once,450,400,500,,,0.409999996,1.1,,3.21,predator,,,5.150000095,5,2.799999952,18,24,6,,,,USGS-NAS; FishBase
Devario aequipinnatus,10829,Giant danio,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Devario,Freshwater,Nonnative,Reported,,Ornamental,LC,,,1,1,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,300,,12.5,1.7,,2.3,,2.9,predator,,5.8,,5,11.25,22,24,2,,,,FishBase
Esomus metallicus,16176,,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Danionidae,Esomus,Freshwater_Brackish,Nonnative,Established,1,,LC,,,,,1,,,dioecism,external,nonguarders,,,,,,,1.2,,1.6,,3.03,,,3.6,,5.059999943,6.400000095,22,26,4,,,,FishBase
Cobitis taenia,6378,Spined loach,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cobitidae,Cobitis,Freshwater,Nonnative,Reported,,Ornamental,LC,,1,1,1,,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,250,550,400,,,1.75,1.9,3.3,,,,,4.714285714,5.675000072,8.284999967,14,18,4,,,,FishBase
Pseudorasbora parva,4691,Stone moroko,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudorasbora,Freshwater_Brackish,Nonnative,Invasive,1,Aquaria; Passive; Diffused from other countries; Ornamental; Forage,LC,,1,1,1,1,Pseudorasbora pumila (Hybridisation; Competition); Cobitis bilseli (Unclear); Cobitis battalgilae (Unclear),,dioecism,external,nonguarders,brood hiders,one clear seasonal peak per year,1443.25,524,2733.666667,,,1.333333333,2.7,,3.22,variable,,,3.666666667,6.300000191,10.41666667,2,22,20,,28,,CABI-ISC; Fishbase; IUCN
Corydoras paleatus,10926,Peppered corydoras,1,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Freshwater,Nonnative,Reported,,Ornamental,,,,,1,1,,,dioecism,in brood pouch or similar structure,nonguarders,brood hiders,,,,,100,0.4,,0.6,,2.94,predator,,1.3,,6.399999917,5.599999905,18,23,5,,,,FishBase
Poecilia vivipara,23359,,1,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,Freshwater_Brackish,Nonnative,Invasive,1,,,,,,,1,Anablepsoides cryptocallus (Unclear),,dioecism,internal (oviduct),bearers,internal live bearers,,,,,100,2,,2.7,,3.2,predator,4.99585329,6.4,,6.480000019,6.700000048,26,28,2,,,,CABI-ISC; USGS-NAS; Fishbase
Chirostoma jordani,12002,Charal,1,Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinopsidae,Chirostoma,Freshwater,Nonnative,Failed,,Stocking; Diffused from other countries,LC,,,1,,1,,,,,,,,,,,,,,,3.2,,,,,,8.06000042,11.10000038,,,,,,,USGS-NAS; FishBase; IUCN
Parambassis ranga,10130,Indian glassy fish,1,Animalia,Chordata,Actinopterygii,Perciformes,Ambassidae,Parambassis,Freshwater_Brackish,Nonnative,Established,1,Ornamental,LC,,,,,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,500,1.4,,1.9,,3.46,,,,3,8.409999768,8.299999905,20,30,10,,,,FishBase
Danio albolineatus,10824,Pearl danio,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Danio,Freshwater,Nonnative,Established,1,Ornamental,LC,,,,,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,1.2,,1.6,,3.03,predator,,3.8,,10.52000046,7.289999962,20,25,5,,,,FishBase
Rhodeus sinensis,54926,,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Acheilognathidae,Rhodeus,Freshwater_Brackish,Nonnative,Established,1,,LC,,,1,1,1,,,dioecism,external,nonguarders,brood hiders,,,,,,2.1,,2.8,2.5,,,,6.8,,11.79999971,7.383333365,,,,,,,FishBase
Barbodes semifasciolatus,4677,Chinese barb,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Barbodes,Freshwater,Nonnative,Established,0.666666667,Accidental; Ornamental,LC,,,,1,1,,Trichopodus trichopterus (Unclear),dioecism,external,nonguarders,open water/substratum egg scatterers,,,,300,,0.7,,1,,2.77,variable,,2.2,,11.89999962,6.200000048,18,24,6,,,,IUCN; FIshbase
Anabas testudineus,495,Climbing perch,1,Animalia,Chordata,Actinopterygii,Anabantiformes,Anabantidae,Anabas,Freshwater_Brackish,Nonnative,Invasive,0.8,Aquaria; Passive; Diffused from other countries; Ornamental,LC,,1,,1,1,Melanotaenia arfakensis (Unclear); Thryssa rastrosa (Unclear); Hephaestus raymondi (Unclear); Leptachirus bensbach (Unclear),,dioecism,external,guarders,clutch tenders,one clear seasonal peak per year,30864.3,12570.8,49157.8,,0.5,,0.8,,2.76,predator,,2,,13.19999981,17.43999996,22,30,8,,,,USGS-NAS; FishBase; IUCN
Rhinogobius giurinus,15825,,1,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Rhinogobius,Freshwater_Brackish_Marine,Nonnative,Established,1,Ornamental,LC,,,1,1,1,,,,,,,,,,,,,0.389999986,1.2,,3.21,,1.318141593,,1.450000048,14.89999962,9.53333346,,,,,,,FishBase
Umbra limi,2707,Central mudminnow,1,Animalia,Chordata,Actinopterygii,Esociformes,Umbridae,Umbra,Freshwater,Nonnative,Established,,Aquaria; Scientific research,LC,,1,1,,,,,dioecism,external,guarders,,,,,1500,,0.8,,1.1,,3.53,predator,,4,,14.90999985,10.60000038,17,22,5,,,,USGS-NAS; Fishbase; IUCN
Mystus tengara,24731,Tengara catfish,1,Animalia,Chordata,Actinopterygii,Siluriformes,Bagridae,Mystus,Freshwater,Nonnative,Reported,,Ornamental,LC,,,,,1,,,dioecism,external,,,,2976.5,720,5233,,0.9,,1.2,,3.2,predator,,3,,15,11.19999981,,,,,,,FishBase
Engraulis encrasicolus,66,European anchovy,1,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Freshwater_Brackish_Marine,Nonnative,Reported,0,Accidental with ships,LC,,,1,1,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,one clear seasonal peak per year,94527.125,22383.47368,142134.25,,,1.083333333,1.9,,3.12,selective plankton feeding,,,3.617647059,19.1066672,16.91666667,,,,,,,FishBase
Pterophyllum scalare,4717,Freshwater angelfish,1,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Pterophyllum,Freshwater,Nonnative,Failed,,Aquaria; Fish farms; Aquaculture; Ornamental,,,,,,1,,,dioecism,external,guarders,clutch tenders,,,,,,,,,,3.6,,,,,22,10.5,24,30,6,,,,USGS-NAS; Fishbase
Glossolepis incisa,10477,Red rainbowfish,1,Animalia,Chordata,Actinopterygii,Atheriniformes,Melanotaeniidae,Glossolepis,Freshwater,Nonnative,Reported,,Ornamental,EN,,,,1,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,2016,910,3122,,3.2,,4.4,2.8,,,,11.2,,22.57999992,11.89999962,,,,,,,IUCN; FishBase
Cabdio morar,24302,Morari,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Danionidae,Cabdio,Freshwater,Nonnative,Established,1,,LC,,,1,1,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,,,,3.2,,,,,,22.88999939,14.40000025,22,,,,,,FishBase
Clupeonella cultriventris,1470,Black and Caspian Sea sprat,1,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupeonella,Freshwater_Brackish_Marine,Nonnative,Invasive,1,Ballast; Fisheries,LC,,1,1,1,,,,dioecism,external,nonguarders,open water/substratum egg scatterers,one clear seasonal peak per year,12665,5220,20110,,,2.5,2.2,,3.03,selective plankton feeding,,,5.666666667,25.10000038,12,,,,2,26,24,CABI-ISC; FishBase; IUCN
Devario devario,10831,Sind danio,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Devario,Freshwater,Nonnative,Reported,,Ornamental,LC,,,1,1,,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,1.2,,1.6,,2.98,variable,,4,,27.05500007,9.033333302,15,26,11,,,,FishBase
Pethia conchonius,4714,Rosy barb,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pethia,Freshwater,Nonnative,Established,0.666666667,Aquaria; Fish farms; Ornamental,LC,,,,1,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,1.2,,1.6,,2.92,variable,,4.2,,30,11,18,22,4,,,,USGS-NAS; FishBase; IUCN
Alburnus escherichii,52607,Caucasian bleak,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Alburnus,Freshwater_Brackish,Nonnative,Invasive,,,LC,,,1,1,,Cobitis battalgilae (Unclear); Cobitis bilseli (Unclear),,,,,,,,,,,2.4,,3.2,2.8,,,,8.5,,30.93000031,14.39999962,,,,,,,Fishbase
Australoheros facetus,4679,Chameleon cichlid,1,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Australoheros,Freshwater,Nonnative,Invasive,0.75,Ornamental,,,,1,1,1,,,dioecism,external,guarders,clutch tenders,,650,300,1000,,,1.5,2.1,,3.33,predator,,5.4,,31.89999962,18.59999975,25,30,5,,,,Global Register of Introduced and Invasive Species 2021; FishBase]
Monodactylus argenteus,5807,Silver moony,1,Animalia,Chordata,Actinopterygii,Perciformes,Monodactylidae,Monodactylus,Freshwater_Brackish_Marine,Nonnative,Reported,,Ornamental,LC,,,,1,1,,,dioecism,external,nonguarders,,,,,,,,,,,2.95,variable,,,,33,22.5,24,28,4,,,,FishBase
Misgurnus anguillicaudatus,3016,Pond loach,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cobitidae,Misgurnus,Freshwater_Brackish,Nonnative,Invasive,1,Aquaria; Fishing recreation; Ornamental; Accidental; Aquaculture,LC,,,1,1,1,Umbra pygmaea (Competition); Misgurnus fossilis (Hybridisation),,dioecism,external,nonguarders,open water/substratum egg scatterers,one clear seasonal peak per year,,2000,,,2.6,,3.7,,3.24,,,,4.25,35.7750001,18.44714287,5,25,20,2,30,28,GISD; IUCN; Fishbase; USGS-NAS
Nandus nandus,10260,Gangetic leaffish,1,Animalia,Chordata,Actinopterygii,Anabantiformes,Nandidae,Nandus,Freshwater_Brackish,Nonnative,Reported,,Ornamental,LC,,,,1,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,1.1,,1.5,,3.89,predator,,4,,36,13.25,22,26,4,,,,FishBase
Acanthorhodeus chankaensis,46831,Khanka spiny bitterling,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Acheilognathidae,Acheilognathus,Freshwater_Brackish,Nonnative,Invasive,,,LC,,,1,,1,Acheilognathus elongatus (Unclear),,dioecism,external,nonguarders,,,,,,,2.4,,3.3,2,,,,8.5,,44.79999924,11.44999981,18,22,4,,,,Fishbase
Puntius vittatus,12170,Greenstripe barb,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Puntius,Freshwater_Brackish,Nonnative,Reported,,Ornamental,LC,,,,,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,300,,,0.6,,0.7,,2,variable,,1.6,,50,,20,24,4,,,,IUCN; Fishbase
Dawkinsia filamentosa,4473,Blackspot barb,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Dawkinsia,Freshwater,Nonnative,Established,1,Fish farms; Aquaria; Ornamental,LC,,,,,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,1.5,,2.1,,2.51,variable,,5.4,,50,15,20,24,4,,,,USGS-NAS; FishBase
Paramisgurnus dabryanus,17244,,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cobitidae,Paramisgurnus,Freshwater_Brackish,Nonnative,Established,1,Aquaria,,,,1,1,,,,,,,,,,,,,3,,4.2,3.3,,,,11.3,,58,21.5,10,25,15,,,,USGS-NAS; FishBase; IUCN
Geophagus surinamensis,4781,Redstriped eartheater,1,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Geophagus,Freshwater,Nonnative,Established,1,Ornamental,,,,1,,1,,,dioecism,external,bearers,external brooders,,,,250,,,,,2.3,,,,,,65,12,22,25,3,,,,FishBase
Macrognathus circumcinctus,55327,,1,Animalia,Chordata,Actinopterygii,Synbranchiformes,Mastacembelidae,Macrognathus,Freshwater,Nonnative,Reported,,Ornamental,LC,,,,,1,,,dioecism,external,nonguarders,,,,,,,1.4,,1.5,,4.01,predator,,5.6,,67,26.80000019,24,27,3,,,,FishBase
Psalidodon fasciatus,8080,Banded astyanax,1,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Psalidodon,Freshwater,Nonnative,Invasive,,,LC,,,,1,1,Cyprinodon simus (Predation); Gambusia sexradiata (Unclear),,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,1,,1.3,,3.26,,,,3.5,69.69999695,15.32499957,20,25,5,,,,Global Register of Introduced and Invasive Species 2021; FishBase; IUCN
Puntius sophore,10137,Pool barb,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Puntius,Freshwater_Brackish,Nonnative,Established,1,,LC,,,1,1,1,,,dioecism,external,,,,11774.75,2864.5,20685,,1,,1.4,2.6,,,,3.5,,70,11.66499996,22,,,,,,FishBase
Glossogobius giuris,4833,Tank goby,1,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Glossogobius,Freshwater_Brackish_Marine,Nonnative,Invasive,,,LC,,,,1,1,Barbodes lindog (Unclear); Barbodes sirang (Unclear),,dioecism,external,guarders,clutch tenders,,70958.66667,8766.666667,133150.6667,,1.1,,1.6,,3.57,predator,8.26639427,4.1,,78.75,24.28571415,25,,,,,,Fishbase
